1,2,3,4,5,6
7,8,9,10,11,12
1,13,2,14,3,5
4,7,6,8,9,11
1,3,10,13,12,14
2,4,5,7,6,9
8,10,11,14,12,13
1,6,2,3,4,5
7,12,8,9,10,11
1,5,2,13,3,14
4,8,6,11,7,9
1,12,3,13,10,14
2,7,4,6,5,9
8,14,10,12,11,13
1,4,2,5,3,6
7,10,8,11,9,12
1,14,2,6,5,13
3,8,4,9,7,11
1,10,2,12,13,14
3,9,5,8,6,7
1,11,2,10,4,12
3,7,5,14,6,13
1,9,4,11,8,12
5,10,6,14,7,13
1,8,2,9,3,11
4,13,5,12,6,10
1,7,2,8,9,14
3,12,4,10,5,11
6,12,7,14,9,13
2,11,3,10,8,13
1,6,4,14,5,7
2,11,3,9,8,12
1,10,4,13,5,14
2,7,6,8,9,12
3,10,4,14,11,13
1,7,2,6,5,9
3,12,8,13,10,11
1,5,4,7,6,14
2,12,3,8,9,11
1,14,4,10,5,13
2,8,6,9,7,12
3,4,10,13,11,14
1,9,2,5,6,7
3,13,8,10,11,12
1,4,5,6,7,14
2,3,8,9,10,12
1,11,4,5,13,14
2,9,6,12,7,8
1,13,3,11,10,14
4,6,5,8,7,9
